id,title,artist_ids,popularity,release_date
7hxHWCCAIIxFLCzvDgnQHX,"Lemonade (feat. Gunna, Don Toliver & NAV)","['6MPCFvOQv5cIGfw3jODMF0', '2hlmm7s2ICUX0LVIhVFlZQ', '4Gso3d4CscCijv0lmajZWs', '7rkW85dBwwrJtlHRDkJDAC']",86,2020-08-28
4RJz8NfIe09gpKMiRUWKhJ,"Parce (feat. Justin Quiles)","['1r4hJ1h58CWwUQe3MxPuau', '1pQWsZQehhS4wavwh7Fnxd', '14zUHaJZo1mnYtn6IBRaRP']",86,2020-08-21
4C6BlqqMwjFzOXzqpTeoWR,"Ponte Pa' Mi","['14zUHaJZo1mnYtn6IBRaRP']",86,2020-11-20
6KfoDhO4XUWSbnyKjNp9c4,"Maniac","['4Uc8Dsxct0oMqx0P6i60ea']",86,2020-03-20
5rZlwNFl01HqLWBQGryKSm,"Mood Swings (feat. Lil Tjay)","['0eDvMgVFoNV3TpwtrVCoTj', '6jGMq4yGs7aQzuGsMgVgZR']",86,2020-07-03
5Km4r87BoX2qqtoprYS1gh,"LOCATION","['790FomKkXshlbRYZFtlgla', '2R21vXR83lH98kGeO99Y66', '1vyhD5VmyZ7KMfW5gqLgo5']",86,2021-02-12
0VWLId2RwPCno9s1cJm2Vy,"Travesuras - Remix","['5hdhHgpxyniooUiQVaPxQ0', '1fux65HMCBvfJHqlBc4Nno', '1i8SpTcr7yvPOmcqrbnVXY', '1wZtkThiXbVNtj6hee6dz9', '7iK8PXO48WeuP03g8YR51W', '2oT7xd9iTO2ejLsNGIMa5f']",86,2021-03-11
6Tio0ZoDeSQnI7EBAqWer2,"Cover Me In Sunshine","['1KCSPY1glIKqW2TotWuXOR', '0gAILSEru1PKMwP0tAqNLS']",86,2021-02-12
2pPO9YecZimmuVQfIzfV6U,"Wasted Love (feat. Lagique)","['4AKwRarlmsUlLjIwt38NLw', '1PbtWtrN7jZpd4toqxrjm2']",86,2021-01-08
4FRW5Nza1Ym91BGV4nFWXI,"Lemon Pepper Freestyle (feat. Rick Ross)","['3TVXtAsR1Inumwj472S9r4', '1sBkRIssrMs1AbVkOJbc7a']",86,2021-03-05
1mauYRwbpoGQX6itP2FAJC,"Fan de Tus Fotos","['1SupJlEpv7RS2tPNRaHViT', '5lwmRuXgjX8xIwlnauTZIP']",86,2021-02-08
7I8L3vYCLThw2FDrE6LuzE,"Además de Mí - Remix","['3Apb2lGmGJaBmr0TTBJvIZ', '4m6ubhNsdwF4psNf3R8kwR', '1bAftSH8umNcGZ0uyV7LMg', '1DxLCyH42yaHKGK3cl5bvG', '1vqR17Iv8VFdzure1TAXEq', '5Y3MV9DZ0d87NnVm56qSY1']",86,2021-03-04
2dl5K2ScW7jYhAhuem06cm,"PROBLEMA","['4VMYDCV2IEDYJArk749S6m']",86,2021-02-26
5SFXOMJJ334Wn2PwBHeRZN,"Girls Like Us","['03d2mJXSMtuPI0nIvLnhoS']",86,2021-01-12
2xgACMNtJ5YktyvOC83SPO,"On The Ground","['3eVa5w3URK5duf6eyVDbu9']",86,2021-03-12
08mG3Y1vljYA6bvDt4Wqkj,"Back In Black","['711MCceyCBcFnzjGY4Q7Un']",85,1980-07-25
